## Master file format version 2.0           2022.11.01 CAD&CCT

                         2024 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - October 30, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR       STATIONS                             SKED CORR  STATUS  DBC  SUBM DEL 
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                     yyyymmdd CODE      days 
--------------------------------------------------------------------------------------------------------------------------------
|IVS-INT-1   |20240102|i24002      |  2|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240102|v24002      |  2|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-S  |20240102|s24002      |  2|19:45| 1:00|MgWs                                     |DACH|WETZ|        | VJ |NASA|   0|
|VGOS-INT-TST|20240102|s4002a      |  2|21:05| 0:12|MgWs                                     |NASA|WETZ|        | VT |NASA|   0|
|IVS-INT-00  |20240102|ii4002      |  2|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20240103|i24003      |  3|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240103|v24003      |  3|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20240103|ii4003      |  3|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20240104|i24004      |  4|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240104|v24004      |  4|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20240104|ii4004      |  4|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20240105|i24005      |  5|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240105|v24005      |  5|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-B  |20240106|b24006      |  6|05:30| 1:00|IsOeOw                                   |DACH|GSI |        | VB |NASA|   0|
|VGOS-INT-C  |20240106|c24006      |  6|07:00| 1:00|IsOeOw                                   |DACH|GSI |        | VC |NASA|   0|
|VGOS-INT-B  |20240107|b24007      |  7|05:30| 1:00|IsOeOw                                   |DACH|GSI |        | VB |NASA|   0|
|VGOS-INT-C  |20240107|c24007      |  7|07:00| 1:00|IsOeOw                                   |DACH|GSI |        | VC |NASA|   0|
|IVS-INT-2   |20240107|q24007      |  7|07:30| 1:00|MkWz                                     |DACH|GSI |        | XK |GSI |   0|
|VGOS-INT-M  |20240108|m24008      |  8|05:30| 1:00|IsNnWs                                   |DACH|BONN|        | VM |NASA|   0|
|IVS-INT-S   |20240108|z24008      |  8|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-1   |20240108|i24008      |  8|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240108|v24008      |  8|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20240108|ii4008      |  8|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20240109|i24009      |  9|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240109|v24009      |  9|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-S  |20240109|s24009      |  9|19:45| 1:00|MgWs                                     |DACH|WETZ|        | VJ |NASA|   0|
|VGOS-INT-TST|20240109|s4009a      |  9|21:05| 0:12|MgWs                                     |NASA|WETZ|        | VT |NASA|   0|
|IVS-INT-1   |20240110|i24010      | 10|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240110|v24010      | 10|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20240110|ii4010      | 10|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20240111|i24011      | 11|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240111|v24011      | 11|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20240111|ii4011      | 11|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20240112|i24012      | 12|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240112|v24012      | 12|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-B  |20240113|b24013      | 13|05:30| 1:00|IsOeOw                                   |DACH|GSI |        | VB |NASA|   0|
|VGOS-INT-C  |20240113|c24013      | 13|07:00| 1:00|IsOeOw                                   |DACH|GSI |        | VC |NASA|   0|
|IVS-INT-2   |20240113|q24013      | 13|07:30| 1:00|MkWz                                     |DACH|GSI |        | XK |GSI |   0|
|VGOS-INT-B  |20240114|b24014      | 14|05:30| 1:00|IsOeOw                                   |DACH|GSI |        | VB |NASA|   0|
|VGOS-INT-C  |20240114|c24014      | 14|07:00| 1:00|IsOeOw                                   |DACH|GSI |        | VC |NASA|   0|
|IVS-INT-2   |20240114|q24014      | 14|07:30| 1:00|MkWz                                     |DACH|GSI |        | XK |GSI |   0|
|VGOS-INT-M  |20240115|m24015      | 15|05:30| 1:00|IsNnWs                                   |DACH|BONN|        | VM |NASA|   0|
|IVS-INT-S   |20240115|z24015      | 15|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-1   |20240115|i24015      | 15|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240115|v24015      | 15|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20240115|ii4015      | 15|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20240116|i24016      | 16|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240116|v24016      | 16|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-S  |20240116|s24016      | 16|19:45| 1:00|MgWs                                     |DACH|WETZ|        | VJ |NASA|   0|
|VGOS-INT-TST|20240116|s4016a      | 16|21:05| 0:12|MgWs                                     |NASA|WETZ|        | VT |NASA|   0|
|VGOS-INT-A  |20240117|v24017      | 17|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20240118|i24018      | 18|17:30| 1:00|KkSvWz                                   |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240118|v24018      | 18|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20240118|ii4018      | 18|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20240119|i24019      | 19|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240119|v24019      | 19|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-B  |20240120|b24020      | 20|05:30| 1:00|IsOeOw                                   |DACH|GSI |        | VB |NASA|   0|
|VGOS-INT-C  |20240120|c24020      | 20|07:00| 1:00|IsOeOw                                   |DACH|GSI |        | VC |NASA|   0|
|IVS-INT-2   |20240120|q24020      | 20|07:30| 1:00|MkWz                                     |DACH|GSI |        | XK |GSI |   0|
|VGOS-INT-B  |20240121|b24021      | 21|05:30| 1:00|IsOeOw                                   |DACH|GSI |        | VB |NASA|   0|
|VGOS-INT-C  |20240121|c24021      | 21|07:00| 1:00|IsOeOw                                   |DACH|GSI |        | VC |NASA|   0|
|IVS-INT-2   |20240121|q24021      | 21|07:30| 1:00|MkWz                                     |DACH|GSI |        | XK |GSI |   0|
|VGOS-INT-M  |20240122|m24022      | 22|05:30| 1:00|IsNnWs                                   |DACH|BONN|        | VM |NASA|   0|
|IVS-INT-S   |20240122|z24022      | 22|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-1   |20240122|i24022      | 22|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240122|v24022      | 22|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20240122|ii4022      | 22|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20240123|i24023      | 23|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
