#POL FREQ[MHZ] TCAL[Jy]
X 3016.4 119.39349999999999
X 3048.4 107.21
X 3080.4 93.241
X 3208.4 69.824
X 3304.4 74.503
X 3368.4 68.74549999999999
X 3432.4 59.069
X 3464.4 54.933499999999995
X 5256.4 62.533500000000004
X 5288.4 60.544
X 5320.4 60.4285
X 5448.4 67.4245
X 5544.4 75.93299999999999
X 5608.4 82.441
X 5672.4 89.5035
X 5704.4 88.309
X 6376.4 56.673500000000004
X 6408.4 55.495000000000005
X 6440.4 50.632
X 6568.4 50.7455
X 6664.4 45.973
X 6728.4 46.143
X 6792.4 38.502
X 6824.4 38.851
X 10216.4 33.888000000000005
X 10248.4 35.406
X 10280.4 36.302
X 10408.4 32.8135
X 10504.4 38.492000000000004
X 10568.4 47.8535
X 10632.4 53.465
X 10664.4 47.2625
Y 3016.4 137.1615
Y 3048.4 119.679
Y 3080.4 144.1465
Y 3208.4 159.1985
Y 3304.4 147.19400000000002
Y 3368.4 102.35300000000001
Y 3432.4 89.9975
Y 3464.4 88.6655
Y 5256.4 65.8825
Y 5288.4 67.411
Y 5320.4 66.053
Y 5448.4 74.33699999999999
Y 5544.4 57.9825
Y 5608.4 60.5135
Y 5672.4 63.429
Y 5704.4 63.5375
Y 6376.4 63.347
Y 6408.4 60.6
Y 6440.4 56.2595
Y 6568.4 55.9995
Y 6664.4 51.8155
Y 6728.4 57.7295
Y 6792.4 53.975
Y 6824.4 53.902
Y 10216.4 56.109
Y 10248.4 67.937
Y 10280.4 70.105
Y 10408.4 63.331
Y 10504.4 49.045
Y 10568.4 53.039
Y 10632.4 67.511
Y 10664.4 65.482
