#POL FREQ[MHZ] TCAL[Jy]
X 3016.4 185.55849999999998
X 3048.4 186.852
X 3080.4 204.676
X 3208.4 191.902
X 3304.4 202.697
X 3368.4 190.4515
X 3432.4 173.154
X 3464.4 39.387
X 5256.4 156.267
X 5288.4 114.851
X 5320.4 142.5365
X 5448.4 189.73700000000002
X 5544.4 162.64
X 5608.4 174.993
X 5672.4 169.163
X 5704.4 163.49
X 6376.4 114.617
X 6408.4 113.6375
X 6440.4 117.263
X 6568.4 128.5325
X 6664.4 138.9015
X 6728.4 105.294
X 6792.4 110.263
X 6824.4 100.405
X 10216.4 139.905
X 10248.4 133.88049999999998
X 10280.4 132.48250000000002
X 10408.4 108.474
X 10504.4 118.864
X 10568.4 103.23150000000001
X 10632.4 90.61500000000001
X 10664.4 91.45
Y 3016.4 275.624
Y 3048.4 353.7125
Y 3080.4 357.66
Y 3208.4 274.213
Y 3304.4 244.481
Y 3368.4 266.325
Y 3432.4 233.82049999999998
Y 3464.4 45.144
Y 5256.4 55.067
Y 5288.4 39.631
Y 5320.4 112.7525
Y 5448.4 195.78
Y 5544.4 197.351
Y 5608.4 182.655
Y 5672.4 185.062
Y 5704.4 183.897
Y 6376.4 130.0505
Y 6408.4 153.78300000000002
Y 6440.4 166.18
Y 6568.4 165.408
Y 6664.4 194.229
Y 6728.4 125.704
Y 6792.4 140.779
Y 6824.4 126.194
Y 10216.4 249.85899999999998
Y 10248.4 238.243
Y 10280.4 229.8795
Y 10408.4 198.042
Y 10504.4 188.509
Y 10568.4 157.965
Y 10632.4 127.369
Y 10664.4 127.503
